tracking_number,ship_date,????,????id,???,???,???
{61290989800520701884},5/12/2020,5/29/2020 5:54,1649,7.18,7.18,7.18
{61290989800520677417},5/9/2020,5/25/2020 7:47,1631,5.61,5.61,5.66
{61290989800521049770},6/3/2020,6/19/2020 2:37,1698,7.44,7.44,8.42
{61290989800520646567},5/6/2020,6/5/2020 2:13,1663,6.54,6.54,7.57
{61290989800520603621},5/4/2020,5/29/2020 5:27,1649,5.37,5.37,5.37
{61290989800520508919},4/24/2020,5/8/2020 0:46,1577,7.19,7.19,7.19
{61290989800520676281},5/9/2020,5/29/2020 5:42,1649,5.7,5.7,5.7
{61290989800520529150},4/27/2020,5/25/2020 7:51,1630,5.72,5.72,5.72
{61290989800520604420},5/4/2020,5/25/2020 8:00,1631,5.37,5.37,5.37
{61290989800520923675},5/20/2020,6/5/2020 2:14,1663,5.37,5.37,5.37
{61290989800521099607},6/10/2020,7/3/2020 2:53,1764,7.64,7.64,8.6
{61290989800520603065},5/4/2020,5/25/2020 7:27,1631,5.37,5.37,5.37
{61290989800521290103},6/19/2020,7/3/2020 5:42,1768,5.92,5.92,5.92
{61290989800520740050},5/15/2020,5/29/2020 6:10,1649,5.37,5.37,5.37
{61290989800520522328},4/26/2020,5/25/2020 7:52,1630,7.19,7.19,7.19
{61290989800521285031},6/18/2020,7/3/2020 5:47,1768,6.46,6.46,6.47
{61290989800520888547},5/18/2020,6/28/2020 4:02,1714,7.42,6.79,8.33
{61290989800520644839},5/6/2020,5/29/2020 5:32,1649,6.84,6.84,6.84
{61290989800520604826},5/4/2020,5/25/2020 8:04,1630,5.4,5.4,5.39
{61290989800520532235},4/27/2020,5/25/2020 7:47,1630,7.05,7.05,6.85
{61290989800520657853},5/7/2020,5/25/2020 7:34,1631,6.88,6.88,6.87
{61290989800521266771},6/16/2020,6/28/2020 3:17,1712,5.63,5.63,5.62
{61290989800520509152},4/24/2020,5/8/2020 0:49,1577,5.38,5.38,5.38
{61290989800520739658},5/15/2020,5/29/2020 6:10,1649,5.7,5.7,5.7
{61290989800520522526},4/26/2020,5/25/2020 8:02,1630,6.89,6.89,6.88
{61290989800521040036},6/2/2020,6/28/2020 2:22,1711,5.85,5.85,5.37
{61290989800521111040},6/11/2020,7/3/2020 3:05,1764,7.18,7.18,7.05
{61290989800520922401},5/20/2020,6/5/2020 2:24,1663,5.37,5.37,5.37
{61290989800520972727},5/25/2020,6/12/2020 4:10,1688,6.29,6.29,6.04
{61290989800521056846},6/4/2020,6/19/2020 2:35,1698,5.41,5.41,5.39
{61290989800521267266},6/16/2020,7/3/2020 2:57,1764,9.33,8.57,8.56
{61290989800520606110},5/4/2020,5/25/2020 7:36,1630,5.4,5.4,5.39
{61290989800520605564},5/4/2020,5/25/2020 7:42,1630,5.61,5.61,5.61
{61290989800520556330},4/29/2020,5/25/2020 7:32,1630,5.72,5.72,5.99
{61290989800520910033},5/19/2020,6/28/2020 4:20,1714,5.61,5.61,5.37
